 ENTREE,TITRE,AUTEUR,SERIE,COTE,EDITION,COMMENTAIRES,THEME_OUVRAGE,TYPE_OUVRAGE
2083,Les Archives du marechal Ney et de sa famille,"SAINT-EXUPERY, Simone de; TOURTIER, Chantal de",UO,UO Archi Ney Thiry ,"Archives nationales, 1962, 249 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2084,Bibliographie napoleonienne,"KIRCHEISEN, Friedrich Max",UO,UO Bibli Kirch Thiry ,"Librairie militaire R. Chapelot, Paris, 1902, 189 p.",Edition originale du n° UO 4028.,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2086,Dictionnaire biographique des generaux et amiraux français de la Revolution et de l Empire - Tome 1,"SIX, Georges",UO,UO Dicti Six Thiry ,"Georges Saffroy, Paris, 1934, tome 1 . 614 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2087,Dictionnaire biographique des generaux et amiraux français de la Revolution et de l Empire - Tome 2,"SIX, Georges",UO,UO Dicti Six Thiry ,"Georges Saffroy, Paris, 1934, tome 2 . 588 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2091,Les Sources de l Histoire de France depuis 1789 aux Archives Nationales,"SCHMIDT, Charles",UO,UO Archi Schm Thiry ,"Honore Champion, 1907, 288 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2098,"Napoleon, Peuples et Civilisations, Histoire generale","LEFEBVRE, Georges",UO,UO Lefebv Thiry ,"Presses Universitaires de France, 1941, 606 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2115,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 1","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 1 . 470 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2116,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 2","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 2 . 554 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2117,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 3","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 3 . 560 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2118,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 4","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 4 . 638 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2126,Essais d Histoire et de Critique,"SOREL, Albert",UO,UO Sorel Thiry ,"Plon, Paris, 1883, 285 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2155,"Histoire du Gouvernement parlementaire en France, 1814 - 1848 - Tome 1","HAURANNE, M. Duvergier de, Ernest",UO,UO Haura Thiry ,"Calmann-Levy, Paris, 1870/1875, tome 1 . 601 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2156,"Histoire du Gouvernement parlementaire en France, 1814 - 1848 - Tome 2","HAURANNE, M. Duvergier de, Ernest",UO,UO Haura Thiry ,"Calmann-Levy, Paris, 1870/1875, tome 2 . 624 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2157,"Histoire du Gouvernement parlementaire en France, 1814 - 1848 - Tome 3","HAURANNE, M. Duvergier de, Ernest",UO,UO Haura Thiry ,"Calmann-Levy, Paris, 1870/1875, tome 3 . 547 p.",Mauvais etat,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2234,"Correspondance et Relations de J. Fievee avec Bonaparte, Premier Consul et Empereur - Tome 1","FIEVEE, Joseph",UO,UO Fiev Thiry  ,"Desez et Beauvais, 1836, tome 1 . 242 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2235,"Correspondance et Relations de J. Fievee avec Bonaparte, Premier Consul et Empereur - Tome 2","FIEVEE, Joseph",UO,UO Fiev Thiry  ,"Desez et Beauvais, 1836, tome 2 . 410 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2236,"Correspondance et Relations de J. Fievee avec Bonaparte, Premier Consul et Empereur - Tome 3","FIEVEE, Joseph",UO,UO Fiev Thiry  ,"Desez et Beauvais, 1836, tome 3 . 362 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2418,Almanach royal pour les annees 1814 - 1815,TESTU (imprimeur),UO,UO Alma 14 Thiry ,"Testu, Paris, 1815, 831 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2422,Histoire de  France contemporaine - Tome 3,"LAVISSE, Ernest",UO,UO Lavis Thiry ,"Hachette, Paris , 1921, tomes 3 - 4 - 5. Le Consulat et l Empire. La Restauration. La Monarchie de Juillet, tome 3 . 444 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2423,Histoire de  France contemporaine - Tome 4,"LAVISSE, Ernest",UO,UO Lavis Thiry ,"Hachette, Paris , 1921, tomes 3 - 4 - 5. Le Consulat et l Empire. La Restauration. La Monarchie de Juillet, tome 4 . 400 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2424,Histoire de  France contemporaine - Tome 5,"LAVISSE, Ernest",UO,UO Lavis Thiry ,"Hachette, Paris , 1921, tomes 3 - 4 - 5. Le Consulat et l Empire. La Restauration. La Monarchie de Juillet, tome 5 . 410 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2425,L Europe et la Revolution française - Vol 1 . Les mœurs politiques et les traditions,"SOREL, Albert",UO,UO Sorel ,"Bibliotheque des Introuvables, 2003, tome 1 . 562 p.",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
